order_id,product_id,quantity,unit_price
ORD_00001,PROD_0012,3,1113000
ORD_00001,PROD_0003,4,894000
ORD_00001,PROD_0004,2,352000
ORD_00001,PROD_0007,2,595000
ORD_00002,PROD_0011,4,757000
ORD_00002,PROD_0004,3,340000
ORD_00002,PROD_0010,12,319000
ORD_00002,PROD_0007,1,592000
ORD_00003,PROD_0008,3,1212000
ORD_00004,PROD_0001,6,2560000
ORD_00005,PROD_0004,1,358000
ORD_00005,PROD_0009,10,468000
ORD_00005,PROD_0001,1,2384000
ORD_00005,PROD_0011,73,713000
ORD_00006,PROD_0003,4,879000
ORD_00006,PROD_0012,100,1138000
ORD_00007,PROD_0009,14,465000
ORD_00007,PROD_0006,5,273000
ORD_00007,PROD_0003,4,861000
ORD_00008,PROD_0012,3,1104000
ORD_00008,PROD_0009,4,487000
ORD_00008,PROD_0001,1,2621000
ORD_00009,PROD_0010,1,330000
ORD_00009,PROD_0003,1,898000
ORD_00009,PROD_0009,2,484000
ORD_00009,PROD_0002,3,4597000
ORD_00009,PROD_0001,4,2383000
ORD_00009,PROD_0008,65,1241000
ORD_00010,PROD_0010,3,321000
ORD_00010,PROD_0011,12,775000
ORD_00010,PROD_0007,8,632000
ORD_00010,PROD_0002,4,4897000
ORD_00010,PROD_0004,8,353000
ORD_00010,PROD_0001,18,2544000
ORD_00011,PROD_0003,1,847000
ORD_00011,PROD_0010,1,326000
ORD_00011,PROD_0005,3,516000
ORD_00012,PROD_0001,15,2490000
ORD_00012,PROD_0011,4,745000
ORD_00013,PROD_0006,1,284000
ORD_00014,PROD_0002,4,4677000
ORD_00014,PROD_0004,3,353000
ORD_00015,PROD_0012,5,1061000
ORD_00015,PROD_0003,4,870000
ORD_00015,PROD_0006,5,273000
ORD_00015,PROD_0011,55,769000
ORD_00015,PROD_0008,15,1153000
ORD_00015,PROD_0001,1,2436000
ORD_00016,PROD_0010,3,331000
ORD_00017,PROD_0007,78,633000
ORD_00017,PROD_0008,8,1165000
ORD_00018,PROD_0008,16,1196000
ORD_00018,PROD_0003,4,917000
ORD_00018,PROD_0012,3,1062000
ORD_00018,PROD_0011,2,784000
ORD_00018,PROD_0002,2,4943000
ORD_00019,PROD_0008,3,1176000
ORD_00020,PROD_0007,4,602000
ORD_00020,PROD_0012,90,1135000
ORD_00021,PROD_0004,9,342000
ORD_00021,PROD_0008,5,1145000
ORD_00022,PROD_0008,3,1191000
ORD_00023,PROD_0002,15,5022000
ORD_00023,PROD_0012,14,1050000
ORD_00023,PROD_0008,4,1219000
ORD_00024,PROD_0005,22,534000
ORD_00024,PROD_0009,4,459000
ORD_00024,PROD_0010,1,315000
ORD_00025,PROD_0001,5,2525000
ORD_00025,PROD_0007,5,649000
ORD_00026,PROD_0011,79,785000
ORD_00027,PROD_0003,3,931000
ORD_00027,PROD_0007,2,632000
ORD_00028,PROD_0012,17,1150000
ORD_00028,PROD_0009,4,467000
ORD_00029,PROD_0002,5,5020000
ORD_00029,PROD_0003,3,931000
ORD_00029,PROD_0007,4,590000
ORD_00030,PROD_0003,2,906000
ORD_00030,PROD_0009,15,491000
ORD_00031,PROD_0008,2,1255000
ORD_00031,PROD_0003,2,882000
ORD_00032,PROD_0005,4,501000
ORD_00032,PROD_0001,1,2538000
ORD_00033,PROD_0011,5,733000
ORD_00034,PROD_0010,5,334000
ORD_00034,PROD_0009,5,468000
ORD_00034,PROD_0007,20,593000
ORD_00034,PROD_0003,10,853000
ORD_00035,PROD_0008,4,1182000
ORD_00036,PROD_0005,1,522000
ORD_00036,PROD_0008,3,1250000
ORD_00036,PROD_0009,4,456000
ORD_00036,PROD_0001,20,2597000
ORD_00036,PROD_0011,2,779000
ORD_00036,PROD_0006,18,275000
ORD_00037,PROD_0005,4,543000
ORD_00037,PROD_0011,16,733000
ORD_00038,PROD_0004,4,335000
ORD_00039,PROD_0009,4,482000
ORD_00040,PROD_0004,92,349000
ORD_00040,PROD_0011,3,738000
ORD_00041,PROD_0001,96,2498000
ORD_00041,PROD_0002,1,5009000
ORD_00042,PROD_0012,9,1138000
ORD_00042,PROD_0008,2,1153000
ORD_00042,PROD_0004,4,351000
ORD_00042,PROD_0007,5,642000
ORD_00043,PROD_0003,42,856000
ORD_00044,PROD_0004,1,354000
ORD_00044,PROD_0006,1,281000
ORD_00044,PROD_0001,3,2411000
ORD_00044,PROD_0002,5,4744000
ORD_00044,PROD_0012,9,1102000
ORD_00045,PROD_0007,16,605000
ORD_00045,PROD_0005,1,513000
ORD_00046,PROD_0010,3,315000
ORD_00047,PROD_0003,4,854000
ORD_00047,PROD_0012,1,1116000
ORD_00048,PROD_0005,40,535000
ORD_00048,PROD_0011,12,777000
ORD_00049,PROD_0005,5,516000
ORD_00050,PROD_0003,4,894000
ORD_00050,PROD_0001,3,2522000
ORD_00051,PROD_0002,2,4852000
ORD_00051,PROD_0006,7,285000
ORD_00052,PROD_0011,4,720000
ORD_00052,PROD_0004,56,351000
ORD_00052,PROD_0005,2,545000
ORD_00053,PROD_0007,1,609000
ORD_00053,PROD_0010,2,328000
ORD_00053,PROD_0002,16,4624000
ORD_00054,PROD_0004,3,336000
ORD_00054,PROD_0005,2,503000
ORD_00054,PROD_0002,4,4938000
ORD_00055,PROD_0007,3,591000
ORD_00055,PROD_0005,4,541000
ORD_00056,PROD_0011,1,713000
ORD_00056,PROD_0006,5,285000
ORD_00056,PROD_0012,4,1094000
ORD_00057,PROD_0010,4,334000
ORD_00057,PROD_0006,3,291000
ORD_00057,PROD_0002,20,4833000
ORD_00057,PROD_0004,2,344000
ORD_00057,PROD_0007,4,623000
ORD_00058,PROD_0010,13,316000
ORD_00058,PROD_0001,10,2395000
ORD_00058,PROD_0012,4,1154000
ORD_00058,PROD_0007,69,597000
ORD_00058,PROD_0003,18,871000
ORD_00058,PROD_0005,5,544000
ORD_00059,PROD_0012,60,1113000
ORD_00059,PROD_0002,5,4682000
ORD_00059,PROD_0011,4,765000
ORD_00059,PROD_0005,2,529000
ORD_00059,PROD_0010,1,325000
ORD_00060,PROD_0008,5,1176000
ORD_00060,PROD_0007,2,603000
ORD_00060,PROD_0002,10,4714000
ORD_00060,PROD_0003,30,920000
ORD_00061,PROD_0010,1,335000
ORD_00061,PROD_0004,3,346000
ORD_00061,PROD_0008,2,1213000
ORD_00062,PROD_0011,2,729000
ORD_00063,PROD_0005,5,514000
ORD_00064,PROD_0007,2,616000
ORD_00065,PROD_0002,4,4951000
ORD_00065,PROD_0008,2,1152000
ORD_00065,PROD_0003,5,848000
ORD_00066,PROD_0001,4,2401000
ORD_00066,PROD_0004,5,334000
ORD_00066,PROD_0011,3,727000
ORD_00066,PROD_0006,4,275000
ORD_00066,PROD_0005,18,538000
ORD_00067,PROD_0012,4,1110000
ORD_00067,PROD_0007,4,599000
ORD_00068,PROD_0005,5,495000
ORD_00069,PROD_0011,2,760000
ORD_00070,PROD_0002,2,4620000
ORD_00070,PROD_0005,4,499000
ORD_00070,PROD_0012,2,1087000
ORD_00070,PROD_0007,10,638000
ORD_00070,PROD_0008,2,1162000
ORD_00070,PROD_0006,79,271000
ORD_00071,PROD_0002,1,4871000
ORD_00071,PROD_0008,5,1174000
ORD_00071,PROD_0010,4,331000
ORD_00071,PROD_0011,3,783000
ORD_00072,PROD_0008,2,1202000
ORD_00072,PROD_0006,4,276000
ORD_00073,PROD_0003,2,888000
ORD_00074,PROD_0009,5,465000
ORD_00075,PROD_0005,7,539000
ORD_00075,PROD_0003,4,887000
ORD_00075,PROD_0002,2,4799000
ORD_00076,PROD_0007,4,651000
ORD_00076,PROD_0003,2,932000
ORD_00076,PROD_0001,1,2541000
ORD_00077,PROD_0009,1,502000
ORD_00077,PROD_0003,20,850000
ORD_00078,PROD_0003,5,927000
ORD_00079,PROD_0005,4,540000
ORD_00079,PROD_0010,53,325000
ORD_00080,PROD_0012,45,1125000
ORD_00080,PROD_0007,4,610000
ORD_00081,PROD_0005,5,532000
ORD_00081,PROD_0011,4,716000
ORD_00082,PROD_0009,59,468000
ORD_00082,PROD_0008,4,1229000
ORD_00082,PROD_0002,4,4669000
ORD_00083,PROD_0006,1,288000
ORD_00083,PROD_0009,13,473000
ORD_00084,PROD_0012,20,1071000
ORD_00084,PROD_0010,2,317000
ORD_00084,PROD_0011,6,776000
ORD_00085,PROD_0008,2,1225000
ORD_00086,PROD_0011,5,780000
ORD_00086,PROD_0001,31,2620000
ORD_00087,PROD_0004,37,339000
ORD_00088,PROD_0005,4,497000
ORD_00088,PROD_0012,3,1124000
ORD_00089,PROD_0012,22,1151000
ORD_00089,PROD_0011,5,714000
ORD_00089,PROD_0009,92,465000
ORD_00089,PROD_0003,4,878000
ORD_00089,PROD_0006,2,285000
ORD_00089,PROD_0004,4,335000
