first_purchase_month,0,1,2,3,4,5,6,7,8,9,10,11
2025-01-01,1.0,0.0833333333333333,0.125,0.2083333333333333,0.1666666666666666,0.2708333333333333,0.25,0.2708333333333333,0.3125,0.1666666666666666,0.3333333333333333,0.2083333333333333
2025-02-01,1.0,0.25,0.2777777777777778,0.1388888888888889,0.2222222222222222,0.0833333333333333,0.25,0.1944444444444444,0.1944444444444444,0.25,0.2777777777777778,
2025-03-01,1.0,0.1627906976744186,0.2325581395348837,0.1162790697674418,0.3023255813953488,0.1162790697674418,0.2093023255813953,0.1627906976744186,0.1860465116279069,0.3953488372093023,,
2025-04-01,1.0,0.2,0.2,0.2727272727272727,0.0909090909090909,0.1636363636363636,0.2,0.1636363636363636,0.3454545454545454,,,
2025-05-01,1.0,0.1395348837209302,0.2325581395348837,0.1627906976744186,0.0697674418604651,0.0930232558139534,0.3720930232558139,0.1162790697674418,,,,
2025-06-01,1.0,0.365079365079365,0.1111111111111111,0.1428571428571428,0.0952380952380952,0.1269841269841269,0.2222222222222222,,,,,
2025-07-01,1.0,0.1521739130434782,0.1304347826086956,0.2391304347826087,0.1956521739130435,0.2826086956521739,,,,,,
2025-08-01,1.0,0.2807017543859649,0.1578947368421052,0.3157894736842105,0.175438596491228,,,,,,,
2025-09-01,1.0,0.1568627450980392,0.2941176470588235,0.2941176470588235,,,,,,,,
2025-10-01,1.0,0.2333333333333333,0.25,,,,,,,,,
2025-11-01,1.0,0.1698113207547169,,,,,,,,,,
2025-12-01,1.0,,,,,,,,,,,
